Icon,Rule Name,Rule ID,Location,Source,Exec,Created,Status
"https://client.smartthings.com/icons/scenes/notify_push","Send notification to members It's time to take your medicine","0b8c1c43-6525-4772-bdc4-c33a7bf476ec","My Ovenell","Routine","Cloud","2025-12-16T02:58:10Z","Enabled"
"https://client.smartthings.com/icons/scenes/notify_push","Send notification to members Remember to take your medicine and get a snack","7d207e50-0519-42f0-9f97-9ddab9c483a4","My Ovenell","Routine","Cloud","2025-12-16T02:59:26Z","Enabled"
